mortalit,sex,icd10,unit,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TRT,T,TOTAL,RT,HR	154.72 	150.64 	141.75 	144.91 	149.37 	139.54 	139.41 p
TRT,T,TOTAL,RT,HU	197.53 	193.03 	184.94 	182.65 	183.9 	175.96 	179.17 p
TRT,T,TOTAL,RT,IE	93.99 	89.67 	86.49 	83.73 	83.81 	80.12 	74.24 p
TRT,T,TOTAL,RT,IS	64.15 	62.15 	68.47 	62.69 	66.81 	62.35 	57.23 p
TRT,T,TOTAL,RT,IT	75.43 	75.07 	71.4 	69.02 	71.31 	66.68 	66.96 p
TRT,T,TOTAL,RT,LI	67.87 	71.48 	70.95 	47.31 	75.26 	62.64 	61.76 p
TRT,T,TOTAL,RT,LT	221.45 	219.07 	214.73 	201.96 	212.98 	205.61 	184.33 p
TRT,T,TOTAL,RT,LU	83.01 	76.56 	83.65 	67.02 	70.56 	70.86 	73.54 p
TRT,T,TOTAL,RT,LV	236.17 	226 	220.85 	209.33 	206.92 	203.16 	198.43 p
TRT,T,TOTAL,RT,MT	107.44 	109.36 	91.64 	93.87 	86.61 	87.35 	86.79 p
TRT,T,TOTAL,RT,NL	79.08 	78.44 	73.85 	68.58 	70.71 	68.93 	65.63 p
TRT,T,TOTAL,RT,NO	76.02 	74.74 	70.08 	66.86 	64.33 	62.97 	62.25 p
TRT,T,TOTAL,RT,PL	149.1 	146.39 	142.25 	130.93 	131.19 	129.79 	134.6 p
TRT,T,TOTAL,RT,PT	94.78 	93.05 	90.06 	89.16 	86.9 	88.87 	84.47 p
TRT,T,TOTAL,RT,RO	224.5 	219.8 	210.96 	207.64 	208.96 	208 	207.56 p
TRT,T,TOTAL,RT,RS	185.31 	180.25 	172.07 	167.79 	178.63 	172.76 	175.23 p
TRT,T,TOTAL,RT,SE	77.46 	75.7 	74.74 	70.54 	70.85 	67.64 	66.85 p
TRT,T,TOTAL,RT,SI	100.58 	94.13 	94.89 	89.34 	92.27 	79.64 	78.76 p
TRT,T,TOTAL,RT,SK	181.97 	182.3 	183.31 	170.9 	176.93 	168.31 	176.03 p
TRT,T,TOTAL,RT,TR	126.14 	120.96 	137.07 	139.09 	139.28 	141.17 	139.29 p
TRT,T,TOTAL,RT,UK	94.39 	92.47 	90.08 	88.41 	89.59 	90.11 	89.21 p
